"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000000003",331.554132071306,330.749303445173,201.620861272582,166.727247762903,1334.24982829128,1183.69967522424,1049.81124923299,1087.32804951379
"ENSG00000000419",1095.11671106334,1101.85947399535,1186.10201495233,1076.70701581622,2487.0719178914,2470.79480400723,2227.86648629842,1971.97187970524
"ENSG00000000457",304.107597959443,290.542441666021,237.879653763019,227.275564055747,110.872506977935,92.6993721561153,86.4901313288543,94.0633946026348
"ENSG00000000460",150.955937615247,167.52859074647,208.213368998116,153.125814392772,491.366792288575,552.630872469149,563.677062798395,490.473414713739
"ENSG00000000938",1.09786136447452,0.957306232836971,1.098751287589,0.438755915165535,0,0,0,1.11980231669803
"ENSG00000000971",0,0,0.549375643794501,0,3.77974455606596,3.5653604675429,0,2.23960463339607
"ENSG00000001036",97.7096614382324,109.611563659833,183.491465027363,198.317673654822,1034.39009351005,998.300930912011,855.954058323489,819.69529582296
"ENSG00000001084",699.33768917027,837.164300615931,502.678714071968,412.869316170768,1012.97154102568,894.905477353267,924.549679722236,1011.18149197832
"ENSG00000001167",3194.77657062086,3044.71247353799,2535.91797175542,2220.54368665277,2911.66322302281,2592.01705990369,2042.95655035397,2077.23329747485
"ENSG00000001460",156.994175119857,138.330750644942,237.330278119224,224.643028564754,403.172752647036,424.277895637605,387.714381819002,437.842705828931
"ENSG00000001461",906.833487055955,950.126436090694,1203.13265990996,1199.99742797774,1007.93188161759,919.863000626067,966.303536225821,967.509201627101
"ENSG00000001497",1268.02987596807,1175.5720539238,1554.18369629464,1586.98014515374,536.723726961366,538.369430598977,685.956213987465,681.959610869102
"ENSG00000001561",741.056421020302,739.040411750142,682.32454959277,589.687949982479,2146.89490784546,1996.60186182402,1529.98059902422,1707.6985329645
"ENSG00000001617",676.831531198543,571.99047412009,415.877362352437,432.613332353217,340.177010045936,331.578523481489,474.204513147856,451.280333629307
"ENSG00000001626",3.29358409342357,0.957306232836971,5.49375643794501,6.58133872748302,8.8194039641539,3.5653604675429,2.98241832168463,4.47920926679213
"ENSG00000001629",1353.11413171485,1365.11868802552,1367.94535304831,1202.62996346873,1632.84964822049,1468.92851262767,1377.8772646183,1407.59151208943
"ENSG00000001630",67.5184739151831,79.4564173254686,94.4926107326542,83.8023797966172,127.251400054221,103.395453558744,122.27915118907,113.100033986501
"ENSG00000001631",357.902804818694,371.434818340745,401.044219969986,327.311912713489,320.018372413584,320.882442078861,286.312158881725,326.982276475826
"ENSG00000002016",256.350628604801,295.328972830205,336.767269646029,315.46550300402,200.326461471496,153.310500104344,208.769282517924,210.52283553923
"ENSG00000002330",136.134809194841,153.168997253915,119.763890347201,229.90809954674,217.965269399804,253.140593195546,319.118760420256,221.720858706211
"ENSG00000002549",1192.27744181933,1205.72720025816,2112.34935038986,2224.49248988926,952.495628128622,869.947954080467,993.145301120982,1077.24982866351
"ENSG00000002586",4652.73646264302,4901.40791212529,3951.65900581384,4141.41708324748,4975.40375063482,5187.59948027491,3498.37669133607,3422.11587982919
"ENSG00000002587",41.1698011677946,44.0360867105007,134.047657085858,185.154996199856,71.8151465652532,60.6111279482292,47.7186931469541,47.0316973013174
"ENSG00000002726",7.13609886908439,4.78653116418485,3.84562950656151,3.07129140615874,1.25991485202199,0,0,0
"ENSG00000002745",0,0.478653116418485,1.098751287589,0,3.77974455606596,0,0,4.47920926679213
"ENSG00000002746",0,2.39326558209243,0.549375643794501,0.87751183033107,21.4185524843738,28.5228837403432,26.8417648951617,49.2713019347135
"ENSG00000002822",2.19572272894904,2.39326558209243,1.098751287589,2.19377957582767,1.25991485202199,7.13072093508579,8.9472549650539,4.47920926679213
"ENSG00000002834",2203.9566891826,2168.29861737574,2277.711419172,2117.43604658887,8220.94440944346,8032.75713337414,7679.72717833793,7587.78049794587
"ENSG00000002919",184.44070923172,165.135325164377,195.577729190842,244.387044747203,527.904322997212,502.715825923548,486.134186434595,481.514996180154
"ENSG00000002933",3.29358409342357,0.478653116418485,0.549375643794501,0.438755915165535,0,0,0,0
"ENSG00000003056",1176.90738271669,1157.86188861632,1249.2802139887,1184.20221503178,3300.9769122976,3494.05325819204,3733.98773874916,3286.61979950873
"ENSG00000003096",37.876217074371,44.0360867105007,66.4744528991346,92.5774980999279,347.736499158068,303.055639741146,354.907780280471,312.424846358751
"ENSG00000003137",28.5443954763376,41.1641680119897,17.580020601424,15.3564570307937,774.847633993522,648.895605092807,560.694644476711,526.307088848076
"ENSG00000003147",1420.08367494779,1325.39047936279,1483.86361388895,1494.40264705381,37.7974455606596,64.1764884157721,41.7538565035848,67.188139001882
"ENSG00000003249",1118.1717997173,1099.94486152968,825.711592623135,1017.47496726888,663.975127015587,506.281186391091,536.835297903234,478.15558923006
"ENSG00000003393",1154.9501554272,1087.97853361922,1009.2030576505,862.594129215442,1000.37239250546,923.42836109361,900.690333148759,1097.40627036407
"ENSG00000003400",25.250811382914,25.3686151701797,37.9069194218206,33.3454495525806,1.25991485202199,10.6960814026287,11.9296732867385,5.59901158349017
"ENSG00000003402",1371.77777491092,1415.85591836588,1427.82729822191,1183.32470320145,956.275372684687,884.209395950638,861.918894966859,886.883434824842
"ENSG00000003436",4967.27374356497,4895.66407472827,2671.06438012886,2244.23650607171,3677.69145305218,3394.22316510084,1825.24001287099,2055.95705345759
"ENSG00000003509",473.178248088519,449.455276316958,494.438079415051,481.315238936592,464.908580396113,581.153756209492,611.395755945349,601.333844066844
"ENSG00000003756",1974.50366400743,1797.82110526783,1587.14623492231,1622.95813019731,894.53954493561,738.029616781379,715.780397204312,839.851737523525
"ENSG00000003987",23.055088653965,30.1551463343646,14.8331423824515,10.0913860488073,37.7974455606596,28.5228837403432,26.8417648951617,42.5524880345253
"ENSG00000003989",427.617001462826,441.796826454262,320.286000332194,277.732494299784,182.687653543188,114.091534961373,322.10117874194,356.097136709975
"ENSG00000004059",1558.96313755382,1565.19569068845,1301.47090014917,1755.90117249247,927.297331088182,1108.82710540584,1124.37170727511,1133.23994449841
"ENSG00000004139",199.810768334363,203.906227594275,285.67533477314,285.191344857598,41.5771901167255,42.7843256105147,110.349477902331,109.740627036407
"ENSG00000004142",2294.53025175175,2302.80014308933,2971.02348164066,3291.54687557184,1537.09611946682,1604.4122103943,1986.29060224196,1773.76686964968
"ENSG00000004399",141.624116017213,122.056544686714,46.6969297225326,39.4880323648981,196.54671691543,238.879151325374,202.804445874555,249.715916623661
"ENSG00000004455",4038.48302921953,4281.55212636335,4682.87798770433,4087.01134976696,4485.29687319827,4353.30513086988,3364.16786686026,3519.53868138192
"ENSG00000004468",0.548930682237261,1.43595934925546,4.94438079415051,3.07129140615874,2.51982970404397,3.5653604675429,0,4.47920926679213
"ENSG00000004478",4227.31518390915,4757.81197719975,6612.28524871061,6090.37085841279,3937.23391256871,3640.2330373613,4145.56146714164,3803.96846982322
"ENSG00000004487",2601.38250312238,2726.88680423611,2072.79430403665,1829.17341032511,2308.16400890428,2217.65421081168,2192.0774664382,2239.60463339607
"ENSG00000004534",4261.34888620786,4048.92671178397,2689.19377637408,2560.1407649909,695.472998316136,616.807360884921,659.114449092304,632.688308934389
"ENSG00000004660",272.269618389681,322.133547349641,347.205406878125,316.343014834351,127.251400054221,228.183069922745,339.995688672048,262.03374210734
"ENSG00000004700",723.49063918871,752.921352126278,883.396035221557,712.539606228829,2984.73828444009,2944.98774619043,1956.46641902512,2077.23329747485
"ENSG00000004766",383.702546883845,420.736089331849,627.936360857115,474.733900209109,1213.29800249717,1080.3042216655,1106.477197345,1186.99045569992
"ENSG00000004776",16.4679204671178,15.3168997253915,11.5368885196845,12.7239215398005,7.55948911213192,0,0,5.59901158349017
"ENSG00000004777",679.576184609729,556.673574394699,370.828559561288,400.145394630968,40.3172752647036,82.0032907534866,80.5252946854851,71.6673482686741
"ENSG00000004779",1261.44270778123,1389.05134384644,1607.47313374271,1858.57005664121,1083.52677273891,1083.86958213304,891.743078183705,948.472562243234
"ENSG00000004799",0,0,1.098751287589,0.438755915165535,61.7358277490773,53.4804070131434,68.5956213987465,73.9069529020702
"ENSG00000004809",3.84251477566083,4.78653116418485,6.59250772553401,6.14258281231749,2.51982970404397,0,2.98241832168463,3.3594069500941
"ENSG00000004838",41.7187318500318,31.59110568362,40.1044219969986,39.4880323648981,11.3392336681979,0,5.96483664336926,8.95841853358427
"ENSG00000004846",4.39144545789809,8.13710297911425,22.5244013955745,19.7440161824491,3.77974455606596,3.5653604675429,0,8.95841853358427
"ENSG00000004848",21.4082966072532,20.5820840059949,24.7219039707525,34.6617172980773,3.77974455606596,3.5653604675429,5.96483664336926,6.7188139001882
"ENSG00000004864",697.141966441321,809.402419863659,943.827356038953,832.31997106902,1273.77391539423,1119.52318680847,1267.52778671597,1227.30333910104
"ENSG00000004866",3325.42207299333,2875.74792344226,2177.17567635761,2406.13743876779,606.019043822575,652.46096556035,745.604580421158,724.512098903628
"ENSG00000004897",3314.44345934858,3598.03547611776,3730.80999700846,2991.87658551378,17635.0281837517,15156.3473475249,10056.7145807206,10962.8646804737
