"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104419",76184.4072596409,4.52491716949996,0.0697230034269867,64.8984832421687,0,0
"ENSG00000146674",11612.9216089767,4.7821951536254,0.104372136306835,45.8186957059748,0,0
"ENSG00000165507",3874.93145083282,4.32157721529018,0.110264971831221,39.1926569564183,0,0
"ENSG00000159167",5841.2843385838,3.1289154857626,0.0908070437937082,34.4567486732719,3.56806302837664e-260,1.16782702918767e-256
"ENSG00000134107",8496.31337312546,2.87014035245747,0.0869622366363048,33.0044449576548,7.01320089021988e-239,1.83633652109517e-235
"ENSG00000176171",5664.59532626254,2.86103969561818,0.0895709792772545,31.9415922289097,7.06904702754688e-224,1.54246606141073e-220
"ENSG00000181458",3638.53119922515,2.98262834477592,0.0985303069569188,30.271176827654,2.74684983900367e-201,5.13739401317658e-198
"ENSG00000132470",3586.64849082305,3.144617660499,0.112808680099216,27.8756710718829,5.2630125581549e-171,8.6129200514205e-168
"ENSG00000148926",1504.91351301542,4.9733676417856,0.179523904726615,27.7030941888169,6.40790674005439e-169,9.32136833786579e-166
"ENSG00000114268",3529.5611088259,2.86114042770821,0.105377063825569,27.1514533033893,2.43391965345689e-162,3.18648761030576e-159
"ENSG00000197930",32161.8776835845,1.8207499447786,0.0697400726352248,26.107657706381,2.98436411432559e-150,3.5519359077046e-147
"ENSG00000104765",5144.70308637883,2.55376846721476,0.099334292149458,25.7088303742314,9.31206419502856e-146,1.01594620367762e-142
"ENSG00000114023",4660.85023238627,2.36823389426205,0.0923756378812006,25.636996383264,5.90443132141768e-145,5.94621652769233e-142
"ENSG00000135245",1682.82656407251,3.50999532613932,0.140164593449517,25.0419541751356,2.13630158974044e-138,1.99774717234871e-135
"ENSG00000196968",3346.00824986092,2.3454790341724,0.0955757725393773,24.5405187094466,5.46037536901293e-133,4.76581562207448e-130
"ENSG00000184368",1699.23944051027,3.04284309501468,0.124761807373398,24.3892194179889,2.22560453334906e-131,1.82110090941287e-128
"ENSG00000122884",16503.4316115939,1.81076025107407,0.0744454176111258,24.3233271997047,1.11074245408405e-130,8.55402365227555e-128
"ENSG00000130640",5147.00418995578,2.06683806124931,0.0866105809540334,23.8635746173581,7.32089075647646e-126,5.32472787687721e-123
"ENSG00000177181",1794.97446934434,2.89769054101902,0.124386960678859,23.2957741326299,4.8928128408884e-120,3.37140556383742e-117
"ENSG00000111674",4303.14210946183,2.30373512753158,0.099256082464282,23.2100146442975,3.60749346681314e-119,2.36146522337588e-116
"ENSG00000152952",7243.33681642338,2.19835679549435,0.0951113359917692,23.1135097890391,3.38651643440902e-118,2.11125110282299e-115
"ENSG00000134333",72852.6806550705,1.70188026831352,0.0740369212116427,22.9869130220651,6.30139281059424e-117,3.74990157619544e-114
"ENSG00000116285",3410.80243339318,2.71698420530705,0.118395466355362,22.948380448556,1.52937556017769e-116,8.70547166688969e-114
"ENSG00000026025",11097.2764846129,1.73544600480766,0.0756577234808098,22.9381208548768,1.93613446286694e-116,1.05616134949392e-113
"ENSG00000117394",3876.44212612897,2.32503545614475,0.101744615558278,22.8516805866057,1.4062280346058e-115,7.36413497162367e-113
"ENSG00000119950",2641.89212741384,2.29947631443089,0.101550812892679,22.6436032261112,1.61304277336676e-113,8.12229076496831e-111
"ENSG00000117298",3870.46986866652,2.05249575785912,0.0908343087851119,22.5960409157154,4.74014562930808e-113,2.29844394736672e-110
"ENSG00000113083",1015.82188731199,3.64553152610856,0.161350746322408,22.5938311981782,4.98330687993968e-113,2.33005191686322e-110
"ENSG00000163814",16349.2134485487,1.6635687929723,0.073681286219994,22.5779010969665,7.14627620658977e-113,3.22617407229908e-110
"ENSG00000185033",2758.74828917808,2.32440724045304,0.103405108686218,22.478649942784,6.71505556729532e-112,2.93045024956768e-109
"ENSG00000124731",876.174599113556,4.25464027715079,0.192506188649697,22.1013168823001,3.06982540271462e-108,1.29645658620451e-105
"ENSG00000104368",5088.61027965471,2.0048556987909,0.0914926041861242,21.9127624208007,1.96306878874622e-106,8.03140518195797e-104
"ENSG00000259207",16672.5870835963,1.91715814143981,0.0875441686296756,21.8993243233557,2.63661372755137e-106,1.04601657336674e-103
"ENSG00000163235",2489.59459651316,2.14548511552666,0.103937245248053,20.642120256375,1.14909665767395e-94,4.42469807125511e-92
"ENSG00000168209",1280.10553911941,2.72466676246354,0.132688825496795,20.534259401741,1.06424467491921e-93,3.9808832240121e-91
"ENSG00000144476",827.696590377509,4.54055890293073,0.221531442875479,20.496227731803,2.32644049066057e-93,8.46048858436893e-91
"ENSG00000115548",4208.3920603225,1.8791894791022,0.0923773954630448,20.3425250266334,5.40735118195799e-92,1.91332545065389e-89
"ENSG00000113369",2387.72623907724,2.0893234152344,0.103318142680208,20.222231652976,6.23957728926709e-91,2.14969857555486e-88
"ENSG00000162723",743.033197623908,5.296365153962,0.263033605775788,20.1356976358248,3.59218891727467e-90,1.20587018730667e-87
"ENSG00000142156",6935.14840703188,1.62029242314767,0.080592926461906,20.1046480662734,6.71954284922658e-90,2.19930637455186e-87
"ENSG00000170525",1870.12599575934,2.47730066595787,0.123370025233943,20.0802477040937,1.09845703320085e-89,3.507560848455e-87
"ENSG00000163516",1779.50132885226,2.26125337922416,0.113930397628935,19.8476738981369,1.1542176199899e-87,3.59786120973994e-85
"ENSG00000114480",3227.10959428324,1.88937846896412,0.0955386407977919,19.7760660313663,4.78604639571383e-87,1.45718417238803e-84
"ENSG00000162433",4603.93356231534,1.76887957706708,0.0915134271217583,19.3291807847343,3.05225814179637e-83,9.08185536190865e-81
"ENSG00000125629",1443.96212924052,2.8609806194718,0.14828602301551,19.2936634302517,6.07147619859541e-83,1.76639480871136e-80
"ENSG00000152256",2035.87538879328,2.16191119406219,0.1124531457227,19.2249952650794,2.28659993451159e-82,6.5078622483969e-80
"ENSG00000249992",2250.56420072789,2.06762877510553,0.107881210207984,19.165791439671,7.14615494812338e-82,1.99058426767726e-79
"ENSG00000069667",1187.65576052421,2.80612461578284,0.146688915975397,19.1297658526122,1.42713742970268e-81,3.89251733951407e-79
"ENSG00000113739",3931.53259586142,1.90386771454029,0.0997386899793225,19.0885574588457,3.14330036632435e-81,8.39838538692212e-79
"ENSG00000102144",3131.2172070439,2.03340244262409,0.106955809365085,19.01161287727,1.36684637889836e-80,3.57895055850747e-78
"ENSG00000145040",880.747910619124,2.79426120893148,0.153371838833409,18.2188674934424,3.65644394722497e-74,9.38630669746457e-72
"ENSG00000146242",3184.87390875139,1.87920545080739,0.105872231028831,17.7497482819234,1.73128260530214e-70,4.35883689781068e-68
"ENSG00000105220",4086.19174503446,1.61623425565751,0.0917050145633832,17.6242734746029,1.60416163375383e-69,3.96258190737832e-67
"ENSG00000164096",1329.90267022696,2.18186012300846,0.124589755591018,17.5123557523518,1.15321276983438e-68,2.79590029308736e-66
"ENSG00000120129",1450.18907246312,2.0909131848029,0.119992536757944,17.4253602873719,5.29737339150683e-68,1.26096749893832e-65
"ENSG00000128567",6336.83950238016,1.67850486569227,0.0981389838440367,17.1033446643361,1.40126656373223e-65,3.27596104506827e-63
"ENSG00000100311",1368.99550979899,2.19058682833329,0.12833523205813,17.0692552092091,2.51386363330825e-65,5.77394783987221e-63
"ENSG00000133639",1426.39830804061,2.07685861244596,0.122332286721758,16.9771911251012,1.21147022602499e-64,2.73458072398606e-62
"ENSG00000161638",4371.51361830323,1.72345881310175,0.102304221261868,16.8464095796226,1.11480668643414e-63,2.47373714216876e-61
"ENSG00000132432",1793.64114977092,1.84953913072672,0.110210842095103,16.7818255950782,3.31486892253787e-63,7.23304398897764e-61
"ENSG00000067057",5909.99200178039,1.44697562324256,0.087068333015516,16.6188506558947,5.08990759798481e-62,1.09241098807897e-59
"ENSG00000145730",5393.54358648352,1.40468534956426,0.0850692699923382,16.512253481084,2.99488088236244e-61,6.32402911482081e-59
"ENSG00000100504",5112.12368165852,1.38737517814239,0.0843094859473058,16.4557423468281,7.62808889696156e-61,1.5851895212543e-58
"ENSG00000146648",4526.87671620128,1.55788900697414,0.0953164991399408,16.3443792106432,4.7700429348281e-60,9.75771907855773e-58
"ENSG00000150995",975.681826123484,2.35441059126077,0.145114793812732,16.2244698104254,3.38628938674667e-59,6.82050779250575e-57
"ENSG00000112033",3008.34203721609,1.68287217496709,0.104071311089549,16.1703754603326,8.15995374868537e-59,1.59853273965611e-56
"ENSG00000131016",2157.17018883811,1.71514996857731,0.106068443731641,16.1702190419304,8.18069764413071e-59,1.59853273965611e-56
"ENSG00000013588",10596.9988693482,1.21353631560676,0.0751355088225527,16.1513022886791,1.11189214780878e-58,2.14071941163419e-56
"ENSG00000105877",595.035306296422,3.05044961376147,0.192087093048911,15.88055483241,8.64106629043295e-57,1.63954840397606e-54
"ENSG00000151151",1823.11560328355,1.75818260223698,0.110820859213989,15.8650872652235,1.10563707121856e-56,2.06785721948477e-54
"ENSG00000067082",4249.72558462412,1.4017677864483,0.088661721590905,15.8102928895991,2.64235546210252e-56,4.87235460702059e-54
"ENSG00000138764",841.615555245629,2.42020290961267,0.153350818071962,15.7821323683905,4.12996548045941e-56,7.50965389863536e-54
"ENSG00000101311",6647.78949561983,1.38998710482419,0.0882427296792797,15.7518597835326,6.66907805727937e-56,1.19338586777053e-53
"ENSG00000169499",3640.06501860412,1.41017994064981,0.0895287518635664,15.7511404023458,6.74538299839745e-56,1.19338586777053e-53
